"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Ascending colon - Malignant neoplasms"	"C18.2"	19	5074296	Unreliable
	"Alabama"	"01"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	28	5074296	0.6
	"Alabama"	"01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	650	5074296	12.8
	"Alabama"	"01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	52	5074296	1.0
	"Alabama"	"01"	"Malignant neoplasm of rectum"	"C20"	166	5074296	3.3
	"Alabama"	"01"	"Anus, unspecified - Malignant neoplasms"	"C21.0"	10	5074296	Unreliable
	"Alabama"	"01"	"Anal canal - Malignant neoplasms"	"C21.1"	13	5074296	Unreliable
	"Alabama"	"01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	173	5074296	3.4
	"Alabama"	"01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	94	5074296	1.9
	"Alabama"	"01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	218	5074296	4.3
	"Alabama"	"01"	"Malignant neoplasm of gallbladder"	"C23"	27	5074296	0.5
	"Alabama"	"01"	"Extrahepatic bile duct - Malignant neoplasms"	"C24.0"	18	5074296	Unreliable
	"Alabama"	"01"	"Head of pancreas - Malignant neoplasms"	"C25.0"	41	5074296	0.8
	"Alabama"	"01"	"Body of pancreas - Malignant neoplasms"	"C25.1"	22	5074296	0.4
	"Alabama"	"01"	"Pancreatic duct - Malignant neoplasms"	"C25.3"	13	5074296	Unreliable
	"Alabama"	"01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	664	5074296	13.1
	"Alabama"	"01"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	26	5074296	0.5
	"Alabama"	"01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	64	5074296	1.3
	"Alabama"	"01"	"Main bronchus - Malignant neoplasms"	"C34.0"	34	5074296	0.7
	"Alabama"	"01"	"Upper lobe, bronchus or lung - Malignant neoplasms"	"C34.1"	79	5074296	1.6
	"Alabama"	"01"	"Lower lobe, bronchus or lung - Malignant neoplasms"	"C34.3"	47	5074296	0.9
	"Alabama"	"01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	2344	5074296	46.2
	"Alabama"	"01"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	34	5074296	0.7
	"Alabama"	"01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	126	5074296	2.5
	"Alabama"	"01"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	19	5074296	Unreliable
	"Alabama"	"01"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	33	5074296	0.7
	"Alabama"	"01"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	17	5074296	Unreliable
	"Alabama"	"01"	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	17	5074296	Unreliable
	"Alabama"	"01"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	51	5074296	1.0
	"Alabama"	"01"	"Central portion of breast - Malignant neoplasms"	"C50.1"	12	5074296	Unreliable
	"Alabama"	"01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	684	5074296	13.5
	"Alabama"	"01"	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	21	5074296	0.4
	"Alabama"	"01"	"Malignant neoplasm of vagina"	"C52"	15	5074296	Unreliable
	"Alabama"	"01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	94	5074296	1.9
	"Alabama"	"01"	"Endometrium - Malignant neoplasms"	"C54.1"	99	5074296	2.0
	"Alabama"	"01"	"Malignant neoplasm of uterus, part unspecified"	"C55"	63	5074296	1.2
	"Alabama"	"01"	"Malignant neoplasm of ovary"	"C56"	194	5074296	3.8
	"Alabama"	"01"	"Malignant neoplasm of prostate"	"C61"	488	5074296	9.6
	"Alabama"	"01"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	225	5074296	4.4
	"Alabama"	"01"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	271	5074296	5.3
	"Alabama"	"01"	"Urinary organ, unspecified - Malignant neoplasms"	"C68.9"	16	5074296	Unreliable
	"Alabama"	"01"	"Frontal lobe - Malignant neoplasms"	"C71.1"	22	5074296	0.4
	"Alabama"	"01"	"Temporal lobe - Malignant neoplasms"	"C71.2"	10	5074296	Unreliable
	"Alabama"	"01"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	239	5074296	4.7
	"Alabama"	"01"	"Malignant neoplasm of thyroid gland"	"C73"	31	5074296	0.6
	"Alabama"	"01"	"Head, face and neck - Malignant neoplasms"	"C76.0"	10	5074296	Unreliable
	"Alabama"	"01"	"Abdomen - Malignant neoplasms"	"C76.2"	12	5074296	Unreliable
	"Alabama"	"01"	"Secondary malignant neoplasm of lung - Malignant neoplasms"	"C78.0"	26	5074296	0.5
	"Alabama"	"01"	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	11	5074296	Unreliable
	"Alabama"	"01"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	25	5074296	0.5
	"Alabama"	"01"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	19	5074296	Unreliable
	"Alabama"	"01"	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	10	5074296	Unreliable
	"Alabama"	"01"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	64	5074296	1.3
	"Alabama"	"01"	"Malignant neoplasm without specification of site"	"C80"	539	5074296	10.6
	"Alabama"	"01"	"Hodgkin disease, unspecified"	"C81.9"	17	5074296	Unreliable
	"Alabama"	"01"	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	11	5074296	Unreliable
	"Alabama"	"01"	"Non-Hodgkin lymphoma small cleaved cell (diffuse)"	"C83.1"	13	5074296	Unreliable
	"Alabama"	"01"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	56	5074296	1.1
	"Alabama"	"01"	"Other and unspecified T-cell lymphomas - Malignant neoplasms"	"C84.5"	21	5074296	0.4
	"Alabama"	"01"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	46	5074296	0.9
	"Alabama"	"01"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	120	5074296	2.4
	"Alabama"	"01"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	194	5074296	3.8
	"Alabama"	"01"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	18	5074296	Unreliable
	"Alabama"	"01"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	62	5074296	1.2
	"Alabama"	"01"	"Lymphoid leukaemia, unspecified - Malignant neoplasms"	"C91.9"	10	5074296	Unreliable
	"Alabama"	"01"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	144	5074296	2.8
	"Alabama"	"01"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	19	5074296	Unreliable
	"Alabama"	"01"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	16	5074296	Unreliable
	"Alabama"	"01"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	49	5074296	1.0
	"Alabama"	"01"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	115	5074296	2.3
	"Alabama"	"01"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	19	5074296	Unreliable
	"Alabama"	"01"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	106	5074296	2.1
	"Alabama"	"01"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	15	5074296	Unreliable
	"Alabama"	"01"	"Connective and other soft tissue - Uncertain neoplasms"	"D48.1"	11	5074296	Unreliable
	"Alabama"	"01"	"Sickle-cell anaemia without crisis"	"D57.1"	13	5074296	Unreliable
	"Alabama"	"01"	"Aplastic anaemia, unspecified"	"D61.9"	17	5074296	Unreliable
	"Alabama"	"01"	"Acute posthaemorrhagic anaemia"	"D62"	20	5074296	0.4
	"Alabama"	"01"	"Anaemia, unspecified"	"D64.9"	49	5074296	1.0
	"Alabama"	"01"	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	13	5074296	Unreliable
	"Alabama"	"01"	"Thrombocytopenia, unspecified"	"D69.6"	13	5074296	Unreliable
	"Alabama"	"01"	"Sarcoidosis, unspecified"	"D86.9"	14	5074296	Unreliable
	"Alabama"	"01"	"Hypothyroidism, unspecified"	"E03.9"	28	5074296	0.6
	"Alabama"	"01"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	12	5074296	Unreliable
	"Alabama"	"01"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	23	5074296	0.5
	"Alabama"	"01"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	190	5074296	3.7
	"Alabama"	"01"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	21	5074296	0.4
	"Alabama"	"01"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	16	5074296	Unreliable
	"Alabama"	"01"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	337	5074296	6.6
	"Alabama"	"01"	"Unspecified diabetes mellitus, with coma"	"E14.0"	22	5074296	0.4
	"Alabama"	"01"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	90	5074296	1.8
	"Alabama"	"01"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	209	5074296	4.1
	"Alabama"	"01"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	23	5074296	0.5
	"Alabama"	"01"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	34	5074296	0.7
	"Alabama"	"01"	"Unspecified diabetes mellitus, without complications"	"E14.9"	643	5074296	12.7
	"Alabama"	"01"	"Hypoglycaemia, unspecified"	"E16.2"	20	5074296	0.4
	"Alabama"	"01"	"Unspecified severe protein-energy malnutrition"	"E43"	330	5074296	6.5
	"Alabama"	"01"	"Moderate protein-energy malnutrition"	"E44.0"	25	5074296	0.5
	"Alabama"	"01"	"Unspecified protein-energy malnutrition"	"E46"	239	5074296	4.7
	"Alabama"	"01"	"Extreme obesity with alveolar hypoventilation"	"E66.2"	13	5074296	Unreliable
	"Alabama"	"01"	"Other obesity"	"E66.8"	77	5074296	1.5
	"Alabama"	"01"	"Obesity, unspecified"	"E66.9"	105	5074296	2.1
	"Alabama"	"01"	"Pure hypercholesterolaemia"	"E78.0"	19	5074296	Unreliable
	"Alabama"	"01"	"Hyperlipidaemia, unspecified"	"E78.5"	130	5074296	2.6
	"Alabama"	"01"	"Organ-limited amyloidosis"	"E85.4"	10	5074296	Unreliable
	"Alabama"	"01"	"Volume depletion"	"E86"	18	5074296	Unreliable
	"Alabama"	"01"	"Hyperosmolality and hypernatraemia"	"E87.0"	10	5074296	Unreliable
	"Alabama"	"01"	"Hypo-osmolality and hyponatraemia"	"E87.1"	12	5074296	Unreliable
	"Alabama"	"01"	"Acidosis"	"E87.2"	59	5074296	1.2
	"Alabama"	"01"	"Hyperkalaemia"	"E87.5"	19	5074296	Unreliable
	"Alabama"	"01"	"Metabolic disorder, unspecified"	"E88.9"	101	5074296	2.0
	"Alabama"	"01"	"Vascular dementia, unspecified"	"F01.9"	164	5074296	3.2
	"Alabama"	"01"	"Unspecified dementia"	"F03"	1222	5074296	24.1
	"Alabama"	"01"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	14	5074296	Unreliable
	"Alabama"	"01"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	50	5074296	1.0
	"Alabama"	"01"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	58	5074296	1.1
	"Alabama"	"01"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	10	5074296	Unreliable
	"Alabama"	"01"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	24	5074296	0.5
	"Alabama"	"01"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	64	5074296	1.3
	"Alabama"	"01"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	13	5074296	Unreliable
	"Alabama"	"01"	"Huntington disease"	"G10"	23	5074296	0.5
	"Alabama"	"01"	"Motor neuron disease"	"G12.2"	108	5074296	2.1
	"Alabama"	"01"	"Parkinson disease"	"G20"	691	5074296	13.6
	"Alabama"	"01"	"Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]"	"G23.1"	17	5074296	Unreliable
	"Alabama"	"01"	"Alzheimer disease with early onset"	"G30.0"	31	5074296	0.6
	"Alabama"	"01"	"Alzheimer disease with late onset"	"G30.1"	267	5074296	5.3
	"Alabama"	"01"	"Alzheimer disease, unspecified"	"G30.9"	2357	5074296	46.4
	"Alabama"	"01"	"Circumscribed brain atrophy"	"G31.0"	44	5074296	0.9
	"Alabama"	"01"	"Senile degeneration of brain, not elsewhere classified"	"G31.1"	977	5074296	19.3
	"Alabama"	"01"	"Other specified degenerative diseases of nervous system"	"G31.8"	112	5074296	2.2
	"Alabama"	"01"	"Degenerative disease of nervous system, unspecified"	"G31.9"	64	5074296	1.3
	"Alabama"	"01"	"Multiple sclerosis"	"G35"	50	5074296	1.0
	"Alabama"	"01"	"Epilepsy, unspecified"	"G40.9"	42	5074296	0.8
	"Alabama"	"01"	"Status epilepticus, unspecified"	"G41.9"	30	5074296	0.6
	"Alabama"	"01"	"Sleep apnoea"	"G47.3"	21	5074296	0.4
	"Alabama"	"01"	"Myasthenia gravis"	"G70.0"	17	5074296	Unreliable
	"Alabama"	"01"	"Muscular dystrophy"	"G71.0"	13	5074296	Unreliable
	"Alabama"	"01"	"Infantile cerebral palsy, unspecified"	"G80.9"	47	5074296	0.9
	"Alabama"	"01"	"Tetraplegia, unspecified"	"G82.5"	11	5074296	Unreliable
	"Alabama"	"01"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	275	5074296	5.4
	"Alabama"	"01"	"Encephalopathy, unspecified"	"G93.4"	124	5074296	2.4
	"Alabama"	"01"	"Cerebral oedema"	"G93.6"	15	5074296	Unreliable
	"Alabama"	"01"	"Other specified disorders of brain"	"G93.8"	10	5074296	Unreliable
	"Alabama"	"01"	"Mitral stenosis"	"I05.0"	10	5074296	Unreliable
	"Alabama"	"01"	"Mitral valve disease, unspecified"	"I05.9"	10	5074296	Unreliable
	"Alabama"	"01"	"Disorders of both mitral and aortic valves"	"I08.0"	11	5074296	Unreliable
	"Alabama"	"01"	"Essential (primary) hypertension"	"I10"	637	5074296	12.6
	"Alabama"	"01"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	815	5074296	16.1
	"Alabama"	"01"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	834	5074296	16.4
	"Alabama"	"01"	"Hypertensive renal disease with renal failure"	"I12.0"	170	5074296	3.4
	"Alabama"	"01"	"Hypertensive renal disease without renal failure"	"I12.9"	39	5074296	0.8
	"Alabama"	"01"	"Hypertensive heart and renal disease with (congestive) heart failure"	"I13.0"	113	5074296	2.2
	"Alabama"	"01"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	101	5074296	2.0
	"Alabama"	"01"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	262	5074296	5.2
	"Alabama"	"01"	"Hypertensive heart and renal disease, unspecified"	"I13.9"	39	5074296	0.8
	"Alabama"	"01"	"Acute subendocardial myocardial infarction"	"I21.4"	117	5074296	2.3
	"Alabama"	"01"	"Acute myocardial infarction, unspecified"	"I21.9"	1426	5074296	28.1
	"Alabama"	"01"	"Acute ischaemic heart disease, unspecified"	"I24.9"	29	5074296	0.6
	"Alabama"	"01"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	856	5074296	16.9
	"Alabama"	"01"	"Atherosclerotic heart disease"	"I25.1"	1614	5074296	31.8
	"Alabama"	"01"	"Ischaemic cardiomyopathy"	"I25.5"	135	5074296	2.7
	"Alabama"	"01"	"Other forms of chronic ischaemic heart disease"	"I25.8"	16	5074296	Unreliable
	"Alabama"	"01"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	754	5074296	14.9
	"Alabama"	"01"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	211	5074296	4.2
	"Alabama"	"01"	"Primary pulmonary hypertension"	"I27.0"	16	5074296	Unreliable
	"Alabama"	"01"	"Other secondary pulmonary hypertension"	"I27.2"	115	5074296	2.3
	"Alabama"	"01"	"Pulmonary heart disease, unspecified"	"I27.9"	24	5074296	0.5
	"Alabama"	"01"	"Acute and subacute infective endocarditis"	"I33.0"	28	5074296	0.6
	"Alabama"	"01"	"Mitral (valve) insufficiency"	"I34.0"	19	5074296	Unreliable
	"Alabama"	"01"	"Mitral (valve) prolapse"	"I34.1"	11	5074296	Unreliable
	"Alabama"	"01"	"Aortic (valve) stenosis"	"I35.0"	97	5074296	1.9
	"Alabama"	"01"	"Aortic (valve) insufficiency"	"I35.1"	11	5074296	Unreliable
	"Alabama"	"01"	"Aortic valve disorder, unspecified"	"I35.9"	16	5074296	Unreliable
	"Alabama"	"01"	"Endocarditis, valve unspecified"	"I38"	67	5074296	1.3
	"Alabama"	"01"	"Dilated cardiomyopathy"	"I42.0"	28	5074296	0.6
	"Alabama"	"01"	"Cardiomyopathy, unspecified"	"I42.9"	142	5074296	2.8
	"Alabama"	"01"	"Atrioventricular block, complete"	"I44.2"	10	5074296	Unreliable
	"Alabama"	"01"	"Other specified conduction disorders"	"I45.8"	59	5074296	1.2
	"Alabama"	"01"	"Conduction disorder, unspecified"	"I45.9"	14	5074296	Unreliable
	"Alabama"	"01"	"Sudden cardiac death, so described"	"I46.1"	301	5074296	5.9
	"Alabama"	"01"	"Cardiac arrest, unspecified"	"I46.9"	1917	5074296	37.8
	"Alabama"	"01"	"Ventricular tachycardia"	"I47.2"	18	5074296	Unreliable
	"Alabama"	"01"	"Atrial fibrillation and flutter"	"I48"	460	5074296	9.1
	"Alabama"	"01"	"Ventricular fibrillation and flutter"	"I49.0"	37	5074296	0.7
	"Alabama"	"01"	"Cardiac arrhythmia, unspecified"	"I49.9"	630	5074296	12.4
	"Alabama"	"01"	"Congestive heart failure"	"I50.0"	1724	5074296	34.0
	"Alabama"	"01"	"Left ventricular failure"	"I50.1"	16	5074296	Unreliable
	"Alabama"	"01"	"Heart failure, unspecified"	"I50.9"	804	5074296	15.8
	"Alabama"	"01"	"Cardiovascular disease, unspecified"	"I51.6"	276	5074296	5.4
	"Alabama"	"01"	"Cardiomegaly"	"I51.7"	24	5074296	0.5
	"Alabama"	"01"	"Heart disease, unspecified"	"I51.9"	627	5074296	12.4
	"Alabama"	"01"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	75	5074296	1.5
	"Alabama"	"01"	"Intracerebral haemorrhage in hemisphere, subcortical"	"I61.0"	12	5074296	Unreliable
	"Alabama"	"01"	"Intracerebral haemorrhage in hemisphere, cortical"	"I61.1"	10	5074296	Unreliable
	"Alabama"	"01"	"Intracerebral haemorrhage in brain stem"	"I61.3"	22	5074296	0.4
	"Alabama"	"01"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	21	5074296	0.4
	"Alabama"	"01"	"Intracerebral haemorrhage, unspecified"	"I61.9"	226	5074296	4.5
	"Alabama"	"01"	"Subdural haemorrhage (acute)(nontraumatic)"	"I62.0"	116	5074296	2.3
	"Alabama"	"01"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	205	5074296	4.0
	"Alabama"	"01"	"Cerebral infarction due to thrombosis of precerebral arteries"	"I63.0"	15	5074296	Unreliable
	"Alabama"	"01"	"Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries"	"I63.2"	32	5074296	0.6
	"Alabama"	"01"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	15	5074296	Unreliable
	"Alabama"	"01"	"Cerebral infarction due to embolism of cerebral arteries"	"I63.4"	54	5074296	1.1
	"Alabama"	"01"	"Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries"	"I63.5"	23	5074296	0.5
	"Alabama"	"01"	"Other cerebral infarction"	"I63.8"	41	5074296	0.8
	"Alabama"	"01"	"Cerebral infarction, unspecified"	"I63.9"	641	5074296	12.6
	"Alabama"	"01"	"Stroke, not specified as haemorrhage or infarction"	"I64"	913	5074296	18.0
	"Alabama"	"01"	"Cerebral aneurysm, nonruptured"	"I67.1"	25	5074296	0.5
	"Alabama"	"01"	"Cerebral atherosclerosis"	"I67.2"	280	5074296	5.5
	"Alabama"	"01"	"Other specified cerebrovascular diseases"	"I67.8"	78	5074296	1.5
	"Alabama"	"01"	"Cerebrovascular disease, unspecified"	"I67.9"	240	5074296	4.7
	"Alabama"	"01"	"Sequelae of cerebral infarction"	"I69.3"	82	5074296	1.6
	"Alabama"	"01"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	86	5074296	1.7
	"Alabama"	"01"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	42	5074296	0.8
	"Alabama"	"01"	"Atherosclerosis of arteries of extremities"	"I70.2"	15	5074296	Unreliable
	"Alabama"	"01"	"Generalized and unspecified atherosclerosis"	"I70.9"	68	5074296	1.3
	"Alabama"	"01"	"Dissection of aorta [any part]"	"I71.0"	52	5074296	1.0
	"Alabama"	"01"	"Abdominal aortic aneurysm, ruptured"	"I71.3"	40	5074296	0.8
	"Alabama"	"01"	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	20	5074296	0.4
	"Alabama"	"01"	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	15	5074296	Unreliable
	"Alabama"	"01"	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	10	5074296	Unreliable
	"Alabama"	"01"	"Aneurysm of unspecified site"	"I72.9"	18	5074296	Unreliable
	"Alabama"	"01"	"Peripheral vascular disease, unspecified"	"I73.9"	88	5074296	1.7
	"Alabama"	"01"	"Embolism and thrombosis of unspecified artery"	"I74.9"	18	5074296	Unreliable
	"Alabama"	"01"	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	46	5074296	0.9
	"Alabama"	"01"	"Other and unspecified disorders of circulatory system"	"I99"	75	5074296	1.5
	"Alabama"	"01"	"Influenza with pneumonia, influenza virus identified"	"J10.0"	27	5074296	0.5
	"Alabama"	"01"	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	25	5074296	0.5
	"Alabama"	"01"	"Influenza with pneumonia, virus not identified"	"J11.0"	14	5074296	Unreliable
	"Alabama"	"01"	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	22	5074296	0.4
	"Alabama"	"01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	34	5074296	0.7
	"Alabama"	"01"	"Pneumonia due to Pseudomonas"	"J15.1"	10	5074296	Unreliable
	"Alabama"	"01"	"Pneumonia due to staphylococcus"	"J15.2"	21	5074296	0.4
	"Alabama"	"01"	"Bacterial pneumonia, unspecified"	"J15.9"	59	5074296	1.2
	"Alabama"	"01"	"Bronchopneumonia, unspecified"	"J18.0"	29	5074296	0.6
	"Alabama"	"01"	"Lobar pneumonia, unspecified"	"J18.1"	16	5074296	Unreliable
	"Alabama"	"01"	"Pneumonia, unspecified"	"J18.9"	672	5074296	13.2
	"Alabama"	"01"	"Bronchitis, not specified as acute or chronic"	"J40"	12	5074296	Unreliable
	"Alabama"	"01"	"Emphysema, unspecified"	"J43.9"	110	5074296	2.2
	"Alabama"	"01"	"Chronic obstructive pulmonary disease with acute lower respiratory infection"	"J44.0"	238	5074296	4.7
	"Alabama"	"01"	"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"	"J44.1"	82	5074296	1.6
	"Alabama"	"01"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	11	5074296	Unreliable
	"Alabama"	"01"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	2636	5074296	51.9
	"Alabama"	"01"	"Asthma, unspecified"	"J45.9"	46	5074296	0.9
	"Alabama"	"01"	"Bronchiectasis"	"J47"	11	5074296	Unreliable
	"Alabama"	"01"	"Pneumonitis due to food and vomit"	"J69.0"	327	5074296	6.4
	"Alabama"	"01"	"Adult respiratory distress syndrome"	"J80"	47	5074296	0.9
	"Alabama"	"01"	"Pulmonary oedema"	"J81"	19	5074296	Unreliable
	"Alabama"	"01"	"Other interstitial pulmonary diseases with fibrosis"	"J84.1"	208	5074296	4.1
	"Alabama"	"01"	"Interstitial pulmonary disease, unspecified"	"J84.9"	114	5074296	2.2
	"Alabama"	"01"	"Pyothorax without fistula"	"J86.9"	10	5074296	Unreliable
	"Alabama"	"01"	"Pleural effusion, not elsewhere classified"	"J90"	32	5074296	0.6
	"Alabama"	"01"	"Pneumothorax, unspecified"	"J93.9"	12	5074296	Unreliable
